method,run,n_diseases,total_gold,Hit@10,Hit@50,Hit@100,Hit@200,MRR,MeanR@100,MicroR@100,gold_hit@100,gold_hit@200,n_cases_total,n_zero_gold_cases,case_set_id
GraphDRx,main,90.0,1064.0,0.5555555555555556,0.8888888888888888,0.9222222222222223,0.9222222222222223,0.2896570578445534,0.604237505712888,0.5056390977443609,538.0,573.0,90,0.0,4036eaaa82a9
GraphDRx without T anchor branch,ablation_no_T,90.0,1064.0,0.6,0.9,0.9222222222222223,0.9222222222222223,0.3039800557200701,0.6009948514775153,0.5112781954887218,544.0,570.0,90,0.0,4036eaaa82a9
GraphDRx without B vector branch,ablation_no_B,90.0,1064.0,0.5666666666666667,0.9,0.9222222222222223,0.9222222222222223,0.31620731347727943,0.5923189390142336,0.5018796992481203,534.0,559.0,90,0.0,4036eaaa82a9
GraphDRx without C semantic-prior branch,ablation_no_C,90.0,1064.0,0.32222222222222224,0.5111111111111111,0.5555555555555556,0.5555555555555556,0.1578878714983312,0.18658731224119313,0.1174812030075188,125.0,125.0,90,0.0,4036eaaa82a9
GraphDRx without D direct branch,ablation_no_D,90.0,1064.0,0.6,0.8888888888888888,0.9222222222222223,0.9222222222222223,0.31113517428447773,0.6043929996256634,0.506578947368421,539.0,569.0,90,0.0,4036eaaa82a9
GraphDRx GPT-OSS proposer ON matched,proposer_on_gptoss_matched,90.0,1064.0,0.5888888888888889,0.8111111111111111,0.8888888888888888,0.9,0.3401129184681392,0.6105463270904795,0.5084586466165414,541.0,585.0,90,0.0,4036eaaa82a9
